secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
158,86,154,0.018,0,0,279,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
159,88,154,0.018,0,0,276,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
160,86,153,0.018,0,0,272,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
161,86,153,0.018,0,0,267,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
162,88,152,0.018,0,0,264,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
163,86,152,0.018,0,0,262,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
164,86,151,0.018,0,0,267,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
165,88,150,0.018,0,0,272,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
166,88,150,0.018,0,0,277,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
167,88,150,0.018,0,0,281,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
168,88,150,0.018,0,0,276,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
169,88,150,0.018,0,0,270,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
170,88,150,0.018,0,0,262,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
171,88,150,0.018,0,0,259,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
172,88,149,0.018,0,0,259,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
173,88,150,0.018,0,0,262,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
174,88,150,0.018,0,0,265,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
175,88,150,0.018,0,0,271,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
176,89,150,0.018,0,0,280,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
177,89,150,0.018,0,0,284,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
178,89,151,0.018,0,0,288,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
179,89,152,0.018,0,0,287,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
180,89,152,0.018,0,0,280,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
181,89,153,0.018,0,0,274,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
182,88,153,0.018,0,0,271,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
183,88,153,0.018,0,0,273,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
184,88,154,0.018,0,0,283,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
185,88,154,0.018,0,0,292,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
186,88,154,0.018,0,0,299,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
187,89,154,0.018,0,0,296,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
188,89,154,0.018,0,0,293,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
189,89,155,0.018,0,0,282,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
190,89,155,0.018,0,0,278,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
191,89,155,0.018,0,0,281,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
192,91,155,0.018,0,0,303,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
193,93,155,0.018,0,0,309,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
194,93,155,0.018,0,0,302,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
195,93,155,0.018,0,0,291,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
196,93,155,0.018,0,0,286,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
197,93,154,0.018,0,0,286,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
198,93,154,0.018,0,0,288,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
199,93,154,0.018,0,0,286,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
200,92,154,0.018,0,0,279,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
201,92,153,0.018,0,0,283,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
202,92,154,0.018,0,0,287,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
203,92,153,0.018,0,0,289,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
204,92,154,0.018,0,0,283,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
205,92,154,0.018,0,0,273,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
206,92,153,0.018,0,0,269,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
207,92,154,0.018,0,0,269,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
208,92,154,0.018,0,0,272,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
209,92,154,0.018,0,0,276,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
210,91,154,0.018,0,0,279,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
211,89,155,0.018,0,0,283,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
212,92,155,0.018,0,0,292,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
213,92,155,0.018,0,0,296,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
214,92,155,0.018,0,0,297,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
215,92,156,0.018,0,0,290,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
216,91,156,0.018,0,0,278,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
217,90,156,0.018,0,0,274,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
218,90,157,0.018,0,0,280,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
219,90,156,0.018,0,0,283,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
220,91,156,0.018,0,0,290,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
221,91,155,0.018,0,0,281,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
222,90,154,0.018,0,0,279,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
223,90,153,0.018,0,0,275,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
224,92,153,0.018,0,0,278,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
225,92,152,0.018,0,0,278,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
226,92,153,0.018,0,0,283,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
227,93,153,0.018,0,0,286,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
228,93,153,0.018,0,0,287,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
229,93,154,0.018,0,0,285,212.4,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
